Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belize,BLZ,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19814454,8.346788187,8.776912986,9.017532825,10.10330804,12.29656716,10.44451844,11.73476787,13.78726906,13.11935742,15.22556691,17.75470484,21.06491908,26.38152072,32.09348634,31.1551564,24.5781251,19.46462755,19.69985523,24.10669492,23.40798508
Bermuda,BMU,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.735509767,6.270144137,5.560148965,6.145485126,6.922707989,11.91945822,23.13292867,35.18293071,33.26951724,23.93282831,30.16046318,30.88884335,27.90888208,27.64047659,27.09736529,17.22318201,17.79579816,16.13810649,16.67019386,21.6511903,23.26149861
Brazil,BRA,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.32011394,38.88784305,29.7757874,24.91579179,20.69439935,18.46563483,24.22872658,23.51353538,28.66654612,26.78335748,25.25416242,25.06733701,21.67787113,24.27328316,25.09144751,29.55199625,32.416771,30.79615913,26.09136225,27.30857344,20.78059519
Barbados,BRB,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.312367342,10.34819765,13.35783635,5.762215807,3.894452832,5.245410301,7.345380326,6.482881452,7.070523366,,,9.262631478,9.512591779,10.80093915,14.16354457,18.21007212,16.75669669,21.81264052,25.95844519,,
Brunei Darussalam,BRN,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.913517745,5.098288209,5.14170804,5.070827193,5.246762668,5.745660461,5.180455819,5.592037574,5.794093815,5.50780295,9.255784663,10.71946653,11.15199844,10.82426126,13.08441141,12.88961095,10.73963245,9.875983281,14.27989231,10.62859842,
Bhutan,BTN,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.98650826,60.04721545,61.57685222,58.25374246,76.75128868,58.89994839,68.0861334,70.35018372,81.87551002,68.68225899,33.08684419,24.22924481,29.14869288,46.50080158,26.18424979,32.07429132,26.23857442,18.8191265,19.87788871,38.03615182,
Botswana,BWA,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.41060538,28.39482871,32.47558073,34.76696766,42.92368622,102.2782697,96.71749104,70.28596769,73.92775322,68.01415772,40.17308629,30.26852302,21.82264112,17.06636643,21.97363197,20.98257083,14.88624303,17.79224255,18.82349279,16.55037255,7.934905737
Central African Republic,CAF,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.638383915,3.055838148,3.565873829,3.393096241,12.50865607,4.292849275,11.71779505,12.40364316,31.2654735,20.45079761,8.391012379,7.930548468,11.93606808,16.29931277,18.23890804,13.76509076,21.88941354,24.45468541,19.78056526,,
Canada,CAN,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39356014,0.370909679,0.313276168,0.309264149,0.282653271,0.2813996,0.3063112,0.229613786,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.35259477,18.71639361,16.49264316,16.42750557,17.46385245,15.69756207,13.47731306,11.30699686,15.76166834,15.22373689,15.52397826,19.03346325,20.02345156,19.56624879,24.08490369,20.56230601,22.12975098,19.58294506,17.53314459,24.16635494,28.56861293
Switzerland,CHE,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.49713412,19.34312316,17.31916109,16.61943864,13.89720777,12.35016454,9.28743338,11.14011963,15.02159678,13.05786556,15.03750441,12.98414049,10.61157842,10.1529766,10.42495385,10.77098515,10.46574783,9.788465855,10.97632218,18.12563859,17.75090372
China,CHN,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.081005646,6.555525934,10.04120064,13.94309327,8.466892838,2.294856817,8.680295973,9.774829255,11.13064977,10.13642227,22.89309069,13.03167437,12.96578058,14.45512443,14.40532852,9.995650266,8.492537842,10.32429433,14.060765,16.28215486,19.97915089
Cameroon,CMR,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.32642218,30.08760993,22.78490854,28.37427274,28.72713822,39.24364049,45.45428963,36.02979935,38.40389498,40.37769912,31.92813106,36.51482558,27.90389517,27.91846721,23.0632994,17.72384188,18.83112625,20.61826255,22.78963066,,
