Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Early-demographic dividend,EAR,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.20133845,10.31926788,10.43068417,10.38251248,10.32428079,11.60071336,12.44934757,12.42354824,12.28040697,11.88300637,11.90368682,12.13652157,12.07529442,12.8444926,11.65426432,11.45955425,,,,
"Egypt, Arab Rep.",EGY,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.535057513,5.339950948,5.615075419,6.000012425,6.151406775,6.055606327,6.0463314,6.098991307,5.910906483,
Estonia,EST,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.140666787,8.661832781,9.005800942,8.200513271,9.048061636,9.874926472,10.68006335,15.04866488,14.67200295,13.73304035,13.24968345,12.63144019,10.95672695,
Ethiopia,ETH,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.670292774,8.598007388,7.976795294,,
European Union,EUU,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.447984015,9.380474528,7.980016886,6.238106102,6.406595075,5.52473505,4.353541331,4.417333959,5.010861663,4.342636689,5.601509764,6.457187183,9.025842138,9.303519062,6.845244092,,
Fiji,FJI,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.501829885,6.889270516,5.850369582,6.445679086,6.476994044,6.959055309,7.126462317,7.315991728,9.729297047,10.46424823,11.8476904,9.515860987,8.883817971,8.667470246,8.713918458,8.521659412,9.191836698,8.870855791,9.937814995,10.95989152,11.38979144,
France,FRA,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.964436348,3.658463803,3.889939749,3.890226173,4.266508837,4.532580624,4.236646364,4.67838137,5.151372529,5.374013953,5.412965279,5.401837756,5.30437015,
Faroe Islands,FRO,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.27006326,6.836547005,7.27530804,6.286159342,6.210955519,6.017568882,6.107107131,5.586614275,
Gabon,GAB,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.871448345,6.658463859,5.911422033,6.334177164,5.536364143,4.511120444,4.314953133,4.538063176,4.979245611,5.064593223,9.810670284,
United Kingdom,GBR,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.216892902,,,3.282959316,4.215605732,4.4697881,4.315052267,4.682679159,5.201382775,4.417123957,5.447910721,5.68544354,5.644215512,5.694308196,6.011962017,5.905729583,
Georgia,GEO,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.33095708,19.55428417,18.29388342,17.56862564,14.24946183,16.95896535,15.71901869,16.17922148,15.58201565,12.74396908,11.98920397,13.58037264,12.59164867,13.2151855,10.43176589,9.382939806,11.29742501,11.55032149,12.27817477,10.29381203,13.0395164
Ghana,GHA,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9896818,11.88415479,12.43525846,10.66646055,11.10587188,9.982257272,10.61436019,10.50384445,9.180218868,8.907296174,12.28674385,10.66454012,9.760574502,9.004343203
Gibraltar,GIB,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19039245,10.91484318,10.55545127,10.98260484,11.86243262,8.677712797,9.579353552,8.88153314,11.22076929
"Gambia, The",GMB,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.54791368,12.42956824,10.88457576,11.72525699,10.50230851,16.04104275,14.29640121,14.65437232,13.52013623,15.04876084,14.82830714,14.42703141,14.41183577,14.8611059,12.95772379,,
Guinea-Bissau,GNB,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.249372723,9.725769637,7.703904425,8.385001532,9.548289495,11.22057511,12.95357169,13.39537292,12.81372725,-0.706329485,-0.170104698,
Greece,GRC,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.403712151,,,3.482832141,4.406325458,5.317028913,-1.261518656,4.50391951,7.265048491,8.073550269,10.1669047,10.43318695,11.99737325,10.71579985,10.97830461,8.832371719,
Grenada,GRD,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.637263189,5.033647053,5.847707817,5.54794557,4.483942199,7.319132317,
Greenland,GRL,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.906147222,6.725988959,6.792684147,6.626210616,6.915812011,6.944704758,6.863193181,7.053770472,6.96779717,7.08221948,6.937454343,6.479102814,6.596442012
Guam,GUM,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
